======================================================================
RESULTS SUMMARY
======================================================================
File                       Algorithm                    Length    Time(s)
linhp318.tsp               nearest_neighbor           54033.58       0.00
linhp318.tsp               nn_multi_start             49294.74       0.00
linhp318.tsp               funsearch                  51566.55     401.48
nrw1379.tsp                nearest_neighbor           70015.46       0.00
nrw1379.tsp                nn_multi_start             68880.91       0.03
nrw1379.tsp                funsearch                  70015.46      78.03
p654.tsp                   nearest_neighbor           43411.56       0.00
p654.tsp                   nn_multi_start             43039.64       0.00
p654.tsp                   funsearch                  43411.56     125.61
pcb1173.tsp                nearest_neighbor           70277.94       0.00
pcb1173.tsp                nn_multi_start             70736.93       0.02
pcb1173.tsp                funsearch                  70277.94      84.35
pcb3038.tsp                nearest_neighbor          175572.75       0.01
pcb442.tsp                 nearest_neighbor           61984.05       0.00
pcb442.tsp                 nn_multi_start             59047.83       0.00
pcb442.tsp                 funsearch                  59726.28     262.99
pla33810.tsp               nn_coords               77327460.45       0.62
pla7397.tsp                nn_coords               28106533.27       0.03
pla85900.tsp               nn_coords              163504086.29       4.00
pr1002.tsp                 nearest_neighbor          315596.59       0.00
pr1002.tsp                 nn_multi_start            316658.95       0.01
pr1002.tsp                 funsearch                 315596.59     120.18
pr107.tsp                  nearest_neighbor           46678.15       0.00
pr107.tsp                  nn_multi_start             46678.15       0.00
pr107.tsp                  funsearch                  46678.15     628.30
pr124.tsp                  nearest_neighbor           69299.43       0.00
pr124.tsp                  nn_multi_start             67304.13       0.00
pr124.tsp                  funsearch                  69299.43     488.37
pr136.tsp                  nearest_neighbor          120777.86       0.00
pr136.tsp                  nn_multi_start            115487.50       0.00
pr136.tsp                  funsearch                 120777.86     384.98
pr144.tsp                  nearest_neighbor           61650.72       0.00
pr144.tsp                  nn_multi_start             61077.40       0.00
pr144.tsp                  funsearch                  61650.72     414.94
pr152.tsp                  nearest_neighbor           85702.95       0.00
pr152.tsp                  nn_multi_start             81557.24       0.00
pr152.tsp                  funsearch                  82690.80     411.50
pr226.tsp                  nearest_neighbor           94685.45       0.00
pr226.tsp                  nn_multi_start             94191.98       0.00
pr226.tsp                  funsearch                  94166.33     420.23
pr2392.tsp                 nearest_neighbor          461207.49       0.00
pr264.tsp                  nearest_neighbor           58022.86       0.00
pr264.tsp                  nn_multi_start             54604.71       0.00
pr264.tsp                  funsearch                  58022.86     375.48
pr299.tsp                  nearest_neighbor           59899.01       0.00
pr299.tsp                  nn_multi_start             59260.10       0.00
pr299.tsp                  funsearch                  59013.74     185.79
pr439.tsp                  nearest_neighbor          131282.09       0.00
pr439.tsp                  nn_multi_start            129267.95       0.00
pr439.tsp                  funsearch                 131282.09     404.62
pr76.tsp                   nearest_neighbor          153461.92       0.00
pr76.tsp                   nn_multi_start            132173.69       0.00
pr76.tsp                   funsearch                 142519.92     353.19
rat195.tsp                 nearest_neighbor            2761.96       0.00
rat195.tsp                 nn_multi_start              2660.18       0.00
rat195.tsp                 funsearch                   2681.56     296.13
rat575.tsp                 nearest_neighbor            8449.32       0.00
rat575.tsp                 nn_multi_start              7973.04       0.00
